Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,C_TrialEnd,exp,subjectId,date
Bono ,7,What singer took his stage name from a Dublin hearing aid billboard?  ,257,0.674,19,180800.5,t,W,7398.5,190712.80000000447,194723.80000000447,5,1153.2999999970198,197065.1000000015,HRV,HRV_0289,2022-11-30 20:33:43
Oklahoma,6,"What U.S. state has the slogan ""Native America"" on its license plates?",271,0.634,20,197065.1000000015,t,W,5204.0,204784.70000000298,208795.90000000596,5,985.0999999940395,210928.5,HRV,HRV_0289,2022-11-30 20:33:43
Holy Roman Emperor Henry IV ,2,Who did Pope Gregory VII leave in the snow outside of his castle gates for three full days?  ,365,1.84,21,210928.5,t,W,4487.80000000447,217929.0,221940.0,5,805.1000000014901,225090.5,HRV,HRV_0289,2022-11-30 20:33:43
Geyser,7,What English word comes from the name of a hot spring in Iceland's Haukadalur valley? ,171,1.573,22,225090.5,t,W,7040.80000000447,234648.90000000596,238659.70000000298,5,915.2999999970198,241656.80000000447,HRV,HRV_0289,2022-11-30 20:33:43
Westminster Kennel Club dog show ,4,What is the second oldest continuously held American sporting event?  ,214,1.198,23,241656.90000000596,t,W,4857.0999999940395,249032.70000000298,253052.1000000015,5,1386.8999999985099,256144.90000000596,HRV,HRV_0289,2022-11-30 20:33:43
Lou Gehrig,3,"In 1934, five years before his retirement, who became the first athlete to appear on a Wheaties box? ",53,1.85,24,256144.90000000596,t,W,4548.0999999940395,263209.1000000015,267220.0,5,822.3000000044703,270400.80000000447,HRV,HRV_0289,2022-11-30 20:33:43
Mickey Finn,3,What owner-bartender of Chicago's Lone Star Saloon was famous for his drug-laced drinks? ,241,1.286,25,270400.80000000447,t,W,6158.19999999553,279073.40000000596,283084.0,5,528.2000000029802,285408.90000000596,HRV,HRV_0289,2022-11-30 20:33:43
It sits beside the Finger Lakes ,6,"Why is Oneida Lake, near Syracuse, New York, sometimes called ""the thumb""?",393,1.065,26,285408.90000000596,t,W,4317.19999999553,292240.90000000596,296252.30000000447,5,1029.7999999970198,298856.700000003,HRV,HRV_0289,2022-11-30 20:33:43
coca-cola,2,Which famous soft drink was invented in 1892?,425,0.756,27,298856.700000003,t,W,6392.60000000149,307761.30000000447,311771.80000000447,3,893.1999999955297,313929.40000000596,HRV,HRV_0289,2022-11-30 20:33:43
Utah,6,"What US state advertised ""The Greatest Snow on Earth"" on its license plates? ",273,1.726,28,313929.5,t,W,5470.60000000149,321912.700000003,325932.80000000447,5,3934.2999999970198,332104.6000000015,HRV,HRV_0289,2022-11-30 20:33:43
Charles ,4,What river runs through Boston? ,252,1.0,29,332104.700000003,t,W,3074.5,337688.80000000447,341700.200000003,5,600.0,343827.80000000447,HRV,HRV_0289,2022-11-30 20:33:43
Choking on food,4,"Each year, approximately 125 people die of what? ",417,1.823,30,343827.80000000447,t,W,2596.5,348937.0,352948.80000000447,5,1061.2999999970198,356344.6000000015,HRV,HRV_0289,2022-11-30 20:33:43
A sneeze,6,The air expelled from what can travel at 100 mph?,90,0.823,31,356344.6000000015,p,K,4312.70000000298,,,,,361992.6000000015,HRV,HRV_0289,2022-11-30 20:33:43
Lhasa Apso,6,"What is called the ""bark lion sentinel dog"" in its native Tibet?  ",200,0.832,32,361992.6000000015,t,W,5276.70000000298,369784.700000003,373795.700000003,5,548.6000000014901,375688.5,HRV,HRV_0289,2022-11-30 20:33:43
Pumpkin,7,Whittaker Chambers hid Alger Hiss's purloined State Department documents in a hollowed-out what?,360,0.759,33,375688.5,t,W,5617.70000000298,383824.700000003,387835.6000000015,5,972.7000000029802,390080.5,HRV,HRV_0289,2022-11-30 20:33:43
A truce ,5,What was put in place by the Ancient Greeks before and during all Olympic festivals? ,278,1.499,34,390080.5,t,W,4681.80000000447,397273.1000000015,401284.1000000015,5,646.0,403936.80000000447,HRV,HRV_0289,2022-11-30 20:33:43
A jenny ,1,What is a female donkey called?,194,1.545,35,403936.80000000447,t,W,3833.5,410280.700000003,414291.80000000447,4,950.2999999970198,417296.90000000596,HRV,HRV_0289,2022-11-30 20:33:43
"Gaslight Caf̩, Greenwich Village",3,Where did Bob Dylan first play in public? ,314,1.958,36,417296.90000000596,t,W,2347.0999999940395,422160.90000000596,426172.40000000596,5,3168.6999999955297,431809.0,HRV,HRV_0289,2022-11-30 20:33:43
Lightning strike,7,Carnivorous animals will not eat another animal that has been killed by what means?,29,1.14,37,431809.0,p,K,7977.10000000149,,,,,441440.5,HRV,HRV_0289,2022-11-30 20:33:43
Silver,1,What metal was found in Nevada's famed Comstock Lode?  ,230,0.954,38,441440.5,p,K,5557.80000000447,,,,,448464.6000000015,HRV,HRV_0289,2022-11-30 20:33:43
Canadian Oil,3,What is canola an abbreviation for?,436,1.695,39,448464.6000000015,p,K,4303.60000000149,,,,,454976.90000000596,HRV,HRV_0289,2022-11-30 20:33:43
Buck,2,"What's the name of the dog who is the hero of Jack London's ""The Call of the Wild""?   ",305,1.72,40,454976.90000000596,t,W,6647.0999999940395,464137.0,468147.6000000015,5,2281.5,472664.90000000596,HRV,HRV_0289,2022-11-30 20:33:43
Cadabra.com ,4,What was the magical original name of the online bookstore that changed its name in 1995 to Amazon.com?,287,0.695,41,472664.90000000596,t,W,4633.29999999702,479809.1000000015,483820.200000003,5,1585.7999999970198,486608.90000000596,HRV,HRV_0289,2022-11-30 20:33:43
Liberia,2,"Before his ears were cut off in 1990 by a political rival, what nation was ruled by dictator Samuel Doe?",27,1.653,42,486608.90000000596,t,W,3538.2999999970198,492665.0,496675.90000000596,5,1624.2999999970198,500464.80000000447,HRV,HRV_0289,2022-11-30 20:33:43
The Loch Ness Monster,3,"In 1994, Christian Spurling confessed that the so-called Surgeon's Photo of 1934 was a fake. What was pictured in it?",55,1.604,43,500464.80000000447,t,W,5232.29999999702,508208.700000003,512220.0,5,1653.1000000014901,515984.5,HRV,HRV_0289,2022-11-30 20:33:43
Mung beans ,2,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,1.864,44,515984.5,p,K,2775.7000000029802,,,,,521136.700000003,HRV,HRV_0289,2022-11-30 20:33:43
Mountain Dew,5,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,1.455,45,521136.700000003,t,W,7945.5,531601.1000000015,535612.200000003,5,1485.1000000014901,539064.8000000045,HRV,HRV_0289,2022-11-30 20:33:43
Air bags,1,"Sodium azide, a highly toxic chemical, is best-known for being used to develop what lifesaving devices?",84,0.713,46,539064.900000006,p,K,4131.29999999702,,,,,544424.8000000045,HRV,HRV_0289,2022-11-30 20:33:43
North Korea,4,"Until 2007, what was the only country in the world not to have registered it's on internet domain suffix, "".kp""?",120,0.579,47,544424.900000006,p,K,5801.0999999940395,,,,,551313.0,HRV,HRV_0289,2022-11-30 20:33:43
lobster,3,Which expensive restaurant item used to be fed to pisinors and servants?,449,0.94,48,551313.1000000015,p,K,5235.0,,,,,558000.900000006,HRV,HRV_0289,2022-11-30 20:33:43
Paris,1,"Student protests in which capital city inspired John Lennon's song  ""Revolution""? ",86,0.586,49,558000.900000006,t,W,3444.0999999940395,563961.0,567983.3000000045,5,1460.7999999970198,570544.700000003,HRV,HRV_0289,2022-11-30 20:33:43
Captain Cook ,3,"Who christened Hawaii ""the Sandwich Islands"" in 1778?  ",363,0.769,50,570544.8000000045,t,W,3734.1999999955297,576801.0,580815.0,4,859.1000000014901,582952.5,HRV,HRV_0289,2022-11-30 20:33:43
potein,3,"What nutrient comes from meat, eggs, and fish?",433,1.687,51,582952.700000003,p,K,3470.5,,,,,588616.8000000045,HRV,HRV_0289,2022-11-30 20:33:43
"Puffer fish, if they are prepared incorrectly thheir poison could kill the eater. ",1,Cooking which food requires over two years of training?,461,1.156,52,588616.900000006,p,K,3419.0999999940395,,,,,593704.6000000015,HRV,HRV_0289,2022-11-30 20:33:43
Cygnet ,1,What is the name given to a young swan? ,207,1.768,53,593704.6000000015,t,W,4578.39999999851,600802.400000006,604811.5,5,1418.5,608512.900000006,HRV,HRV_0289,2022-11-30 20:33:43
