Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,trialEvents,exp,subjectId,date
Columbus Circle ,6,What Manhattan intersection was America's first traffic circle?,228,1.468,20,114182.5,q,S,2632.0,118809.39999985695,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Apples. They don't have caffeine but the natural sugar and vitamins release slowly and make you feel more awake. ,4,Whice fruit is effective than coffee at waking you up in the morning?,454,1.454,21,118809.39999985695,t,W,3524.600000143051,132108.5,124862.79999995232,128871.09999990463,5,1263.2999999523163,,HRV,HRV_0197,2022-11-30 19:12:53
St. Louis Gateway Arch ,2,"Which famous American landmark is officially called ""The Jefferson National Expansion Memorial""? ",341,1.169,22,132108.5,q,S,2449.5,136251.0,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Asparagus,5,what vegetable loses its flavour the quickest?,451,0.677,23,136251.0,q,S,2202.5999999046326,139651.5,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
cheese ,5,What item of food holds the world record for being the most stolen item of food in the world?,444,0.945,24,139651.5,q,S,1826.6999998092651,142948.39999985695,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Saffron,3,What is the most expensive spice (by weight) in the world?,431,0.833,25,142948.39999985695,q,S,2185.5,146480.19999980927,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Louisiana's,3,What U.S. state's civil law is most closely based on the Napoleonic Code?  ,272,0.906,26,146480.19999980927,q,S,1982.1000001430511,149880.19999980927,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Dragonflies,5,"Which insect, one of the fastest, can fly at speeds up to 60 mph? ",342,0.941,27,149880.19999980927,t,W,2038.0,161315.69999980927,154427.5,158438.29999995232,3,1415.5999999046326,,HRV,HRV_0197,2022-11-30 19:12:53
Coca-Cola,6,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,1.262,28,161315.69999980927,q,S,2050.300000190735,165153.29999995232,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Pepper and Mustard,6,What are the top two most popular spices in the world?,422,1.436,29,165153.39999985695,q,S,1660.5,168775.09999990463,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Sapphire,2,What type of stone is referred to as the Star of India?  ,270,1.929,30,168775.09999990463,q,S,1782.7999999523163,173018.89999985695,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
honey,5,Which is the only food that can never go off or go bad?,442,1.18,31,173019.0,p,K,2315.199999809265,177034.79999995232,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
San Francisco Bay ,5,"What bay is Otis Redding serenading in ""(Sittin' on) the Dock of the Bay""? ",142,1.92,32,177034.79999995232,q,S,1715.0,181196.0,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Twenty-fourth ,5,Which Constitutional Amendment deals with poll taxes? ,335,1.546,33,181196.09999990463,q,S,2121.7999999523163,185397.0,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Echinoderms,7,"Starfish belong to what animal phylum, whose name means ""spiny skin""? ",85,1.264,34,185397.0,q,S,1929.0,189112.29999995232,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Toledo,1,"The world's first ""sister cities"" were what Spanish city and its midwestern namesake?",110,0.754,35,189112.29999995232,p,K,2237.7000000476837,192625.19999980927,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Bright red,5,Vitamin A is largely available in natural food sources with which colour?,448,0.585,36,192625.19999980927,p,K,2628.7000000476837,196372.89999985695,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Strom Thurmond ,1,Who filibustered for a record twenty-four hours and eighteen minutes -- with a urine pail standing at the ready -- in the hope of preventing the Civil Rights Act of 1957?,366,0.547,37,196372.89999985695,p,K,3529.2999999523163,200981.39999985695,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Gibralter,5,"Europe's only free-range monkeys are the Barbary apes, which live where?",37,0.67,38,200981.39999985695,q,S,2168.4000000953674,204348.29999995232,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
spiced ham,2,What two words were combined to make the word Spam?,426,1.974,39,204348.29999995232,p,K,2089.5999999046326,208938.19999980927,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Charles Babbage ,7,"What inventor of the Difference Engine once baked himself in an oven for five minutes, ""to see what would happen""?",192,1.555,40,208938.19999980927,q,S,2923.600000143051,213924.59999990463,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
San Fancisco,5,"""Dear Abby"" first appeared in a newspaper of what city?",2,1.171,41,213924.69999980927,q,S,1945.1000001430511,217556.5,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Patch Addams ,3,"What doctor, whose life was fictionalized in a 1998 film, founded the Gesundheit! Institute and named his oldest son ""Atomic Zagnut""?",166,1.713,42,217556.5,q,S,2505.5999999046326,222287.19999980927,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
A mine shaft passage,7,What is an adit?  ,197,1.994,43,222287.19999980927,t,W,2215.0,234580.39999985695,227020.39999985695,231042.19999980927,3,1012.3000001907349,,HRV,HRV_0197,2022-11-30 19:12:53
Peanuts ,4,What snack food is an ingredient in the explosive dynamite?  ,408,0.936,44,234580.39999985695,q,S,2865.600000143051,238904.0,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Martin Luther King Jr. ,1,Who won the Nobel Peace Prize in 1964? ,386,1.414,45,238904.0,q,S,2357.899999856949,243193.5,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
at least 97%,2,How much caffeine needs to be taken out of coffee for it to be described as decaffeinated?,427,0.896,46,243193.5,q,S,3508.5999999046326,248122.39999985695,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Pearl Harbor ,7,What late-breaking news story kicked Dumbo off the cover of Time magazine six weeks after the elephant cartoon's release?,227,0.802,47,248122.39999985695,q,S,2451.7999999523163,251891.69999980927,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Owl,5,"Which animal has tubular shaped eyeballs, which therefore cannot move?  ",325,1.625,48,251891.69999980927,q,S,2658.2000000476837,256710.5,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Texas,4,"What state's motto is ""friendship"" since that's supposed to have been the meaning of the state's Caddo Indian name?",263,0.92,49,256710.5,q,S,1839.3999998569489,259990.79999995232,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
The evacuation of Saigon,3,"""White Christmas"" playing on Armed Forces Radio was the secret signal for what event on April 30, 1975?",6,1.025,50,259990.79999995232,q,S,2767.399999856949,264317.7999999523,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Smurfette,3,"Who did Gargamel create using ingredients like crocodile tears, the tip of an adder's tongue and a hard stone for a heart?",364,1.707,51,264317.7999999523,q,S,2520.0999999046326,269076.09999990463,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
"Gail Borden, Jr. ",1,Who invented condensed milk in 1856? ,414,1.309,52,269076.09999990463,t,W,2513.7999999523163,280998.19999980927,274111.7999999523,278122.0,4,1043.7999999523163,,HRV,HRV_0197,2022-11-30 19:12:53
Cell,2,Robert Hooke coined what scientific term after looking at a piece of cork under a microscope?,81,1.695,53,280998.19999980927,p,K,3952.100000143051,287157.2999999523,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Czechoslovakia,3,Shirley Temple Black was the U.S. ambassador to what nation at the time of its 1989 revolution?,83,1.518,54,287157.2999999523,q,S,2200.5,291394.59999990463,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
The Big Bang,5,"Arno Penzias and Robert Wilson shared a Nobel Prize for accidentally discovering ""CMB,"" leftover radiation from what?",22,1.689,55,291394.59999990463,q,S,3139.0,296737.69999980927,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
George H.W. Bush ,1,"Who said: ""I'm the president of the United States and I'm not going to eat any more broccoli""? ",415,0.945,56,296737.69999980927,t,W,3076.100000143051,309014.89999985695,302324.5,306341.7999999523,4,1216.0999999046326,,HRV,HRV_0197,2022-11-30 19:12:53
Bolivia,3,"Of all the countries named for a person, which country is named for the person who lived most recently?",75,1.297,57,309015.0,q,S,3462.7999999523163,314293.5,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Condoleeza (con dolcezza) Rice ,7,"Whose unusual first name is derived from an Italian musical term for ""with sweetness""? ",390,0.655,58,314293.5,q,S,2000.3999998569489,317463.2999999523,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
The Loch Ness Monster,7,"In 1994, Christian Spurling confessed that the so-called Surgeon's Photo of 1934 was a fake. What was pictured in it?",55,1.706,59,317463.39999985695,q,S,2238.2000000476837,321929.69999980927,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Apple sauce,3,What was the first food eaten in space?,435,1.661,60,321929.69999980927,t,W,2236.0,333788.0,326690.59999990463,330715.5,4,898.0999999046326,,HRV,HRV_0197,2022-11-30 19:12:53
Tooth,5,What is the only part of the body that can't repair itself? ,210,1.88,61,333788.09999990463,t,W,2689.7000000476837,346226.2999999523,338998.0,343007.2999999523,5,814.2999999523163,,HRV,HRV_0197,2022-11-30 19:12:53
Espresso,4,The Italian government regulates the price of what beverage?,399,0.537,62,346226.39999985695,q,S,2539.5,349830.59999990463,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Woodrow Wilson,2,Which U.S. president's home was named Shadow Lawn?,356,0.816,63,349830.59999990463,q,S,2087.0,353256.09999990463,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Kiwi,2,"Which bird species has survived more than 70 million years, despite the fact that it lays one egg a year and is nearly blind?",331,0.62,64,353256.09999990463,q,S,2950.0,357362.69999980927,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Honey,3,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,0.544,65,357362.69999980927,q,S,2299.300000190735,360736.7999999523,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Claudius,5,Which Roman emperor had a speech impediment?  ,351,1.484,66,360736.7999999523,q,S,1596.7999999523163,364345.0,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Tears,5,"At 6-8 weeks, babies start producing what? ",23,1.896,67,364345.09999990463,p,K,1980.5,368738.5,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Thomas Nast ,2,Which cartoonist is famous for creating the popular image of Santa Claus? ,333,0.723,68,368738.5,q,S,2011.2999999523163,371982.2999999523,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Paris,6,"What city is home to the world's very first pet cemetery, in which Rin Tin Tin is buried?",148,1.284,69,371982.2999999523,q,S,2143.0999999046326,375935.7999999523,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Ian Thorpe ,5,Who outgrew a childhood chlorine allergy to become the biggest Olympic medal winner in Australian history? ,370,1.009,70,375935.7999999523,q,S,2021.8999998569489,379489.0,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
The Chesapeake Bay,7,What bay is actually the United States's largest tidal estuary? ,141,1.345,71,379489.0,q,S,1732.8999998569489,383087.59999990463,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
over 10 billion donuts. ,2,How many donuts are concumed in the US every year?,463,1.099,72,383087.59999990463,q,S,1903.2999999523163,386621.0,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Sugar-sweetened beverages are likely the most fattening becaause they are not registered as consumed calories. ,4,What is the most fattening product in the modern diet?,457,1.82,73,386621.0,t,W,2048.699999809265,398217.7999999523,391189.59999990463,395207.0,2,662.5999999046326,,HRV,HRV_0197,2022-11-30 19:12:53
Mushrooms which have been exposed to light,3,What is the only non-animal natural source of vitamin D?,459,0.597,74,398217.7999999523,q,S,2363.7000000476837,401701.7999999523,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Mung beans ,1,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,0.742,75,401701.7999999523,q,S,2167.7000000476837,405130.19999980927,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Adam,1,What did Coleco name its 1983 home computer in the hope that it would take a bit out of Apple's sales?,162,1.463,76,405130.19999980927,q,S,2083.300000190735,409203.2999999523,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Broccoli! ,7,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,1.48,77,409203.39999985695,q,S,1642.1000001430511,412837.2999999523,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Choking on food,5,"Each year, approximately 125 people die of what? ",417,0.939,78,412837.2999999523,q,S,2256.7000000476837,416560.5,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Ampersand (&),7,"What began as a ligature of the letters ""e"" and ""t""?",144,1.785,79,416560.5,q,S,2165.199999809265,421040.7999999523,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
"Puffer fish, if they are prepared incorrectly thheir poison could kill the eater. ",5,Cooking which food requires over two years of training?,461,1.951,80,421040.89999985695,q,S,1740.5,425251.89999985695,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Mountain Dew,2,"What was first marketed with hillbilly-themed advertising, since its name is a euphemism for moonshine?",421,1.887,81,425251.89999985695,q,S,2969.7000000476837,430626.09999990463,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
A wiki,5,"What kind of information resource takes its name from a Hawaiian word for ""quick""? ",225,0.586,82,430626.09999990463,q,S,2211.7000000476837,433934.2999999523,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Sepia,1,What tinting process for black and white photography was named for the genus of cuttlefish that originally provided the pigment?,266,0.613,83,433934.2999999523,t,W,3231.2000000476837,445641.89999985695,439686.69999980927,443703.0,5,798.5,,HRV,HRV_0197,2022-11-30 19:12:53
Chicago,6,What city has the only drive-thru post office in the world? ,147,1.788,84,445641.89999985695,q,S,3083.600000143051,451041.7999999523,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Everything ,3,Pantophobia is the fear of what?,79,1.057,85,451041.7999999523,t,W,2036.2000000476837,461757.2999999523,455606.09999990463,459622.89999985695,5,542.7999999523163,,HRV,HRV_0197,2022-11-30 19:12:53
Roulette,6,What game was created by French mathematician Blaise Pascal when he was experimenting with perpetual motion? ,182,0.734,86,461757.2999999523,q,S,2256.399999856949,465264.5,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Traffic lights,1,"Thimpu, the capital of Bhutan, is known for being the only world capital without any what?",113,1.634,87,465264.5,q,S,3204.7999999523163,470612.0,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Great Britain,3,"Of the world's seven most populous islands, what's the only one not in Asia? ",76,0.684,88,470612.0,q,S,2033.1999998092651,473863.0,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Mice,3,"After humans, what's the worlds most abundant mammal species?",16,0.716,89,473863.0,q,S,2982.5,478098.0,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Molasses,4,"A two-million gallon tank of what substance exploded in Boston in 1919, resulting in 21 deaths?",10,1.352,90,478098.09999990463,t,W,3395.5,491116.7999999523,484003.09999990463,488028.5,3,1209.0999999046326,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 478932.09999990463, 'date time': 1669835440529}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 478960.7999999523, 'date time': 1669835440558}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 479364.59999990463, 'date time': 1669835440961}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 479369.39999985695, 'date time': 1669835440966}]",HRV,HRV_0197,2022-11-30 19:12:53
Cygnet ,7,What is the name given to a young swan? ,207,0.658,91,491116.7999999523,q,S,1896.7000000476837,494198.89999985695,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Arthur Conan Doyle,6,"What gullible author believed that Harry Houdini had ""wonderful powers"" after Houdini showed him the child's trick of pretending to remove his thumb? ",184,0.612,92,494198.89999985695,q,S,2278.2999999523163,497604.5,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Green Eggs and Ham,6,What 1960 classic originated when Bennett Cerf bet one of his authors that he couldn't write a book using only fifty words?,419,0.851,93,497604.5,q,S,1649.0999999046326,500624.59999990463,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
The nock,5,What slot on the back of an arrow's shaft keeps it on the bowstring? ,259,0.547,94,500624.59999990463,q,S,1908.7000000476837,503599.69999980927,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Steamboat Geyser,2,"Which Yellowstone geyser, with eruptions 100 fee taller than Old Faithful's, is the world's tallest?",359,1.422,95,503599.69999980927,t,W,2581.600000143051,515482.5,508698.0,512709.5,3,823.2999999523163,,HRV,HRV_0197,2022-11-30 19:12:53
Criss-Cross ,3,What was the game of Scrabble originally called? ,286,0.607,96,515482.5,t,W,1986.7999999523163,526157.6999998093,519985.09999990463,523997.19999980927,4,1024.0,,HRV,HRV_0197,2022-11-30 19:12:53
Silicon,3,What element is combined with oxygen to make up the mineral quartz?,269,1.999,97,526157.7999999523,q,S,2727.5999999046326,531404.1999998093,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Every jar of peanut butter must be at least 90% peanuts,3,What percentage of peanuts is found in a standard jar of peanut butter?,423,1.723,98,531404.1999998093,t,W,2584.600000143051,543440.5,536509.5999999046,540530.2999999523,5,667.0999999046326,,HRV,HRV_0197,2022-11-30 19:12:53
Social Security,6,Ida May Fuller was the first U.S. citizen to receive a check for what?,46,1.383,99,543440.5,q,S,1732.7999999523163,547083.5,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Tse-tse fly,7,What transmits the disease typanosomiasis to humans and cattle? ,267,1.787,100,547083.5,p,K,2137.899999856949,551524.5999999046,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Mexico ,1,"In what nation did the woven-yarn craft of ""God's eyes"" originate? ",65,1.613,101,551524.5999999046,q,S,2152.5999999046326,555803.899999857,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Woodrow Wilson ,7,"Which U.S. president declared the first national ""Mother's Day""?  ",355,1.638,102,555803.899999857,q,S,1953.4000000953674,559922.7999999523,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Prussian Blue ,2,What craylola color became 'midnight blue' in 1985 to remove an out-of-date geographical term? ,160,1.71,103,559922.7999999523,q,S,2226.7000000476837,564390.5,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Tobacco,7,"In 2005, Bhutan became the first country to entirely ban what?",57,1.061,104,564390.5,t,W,2206.899999856949,575243.2999999523,569120.0999999046,573134.0,5,535.1999998092651,,HRV,HRV_0197,2022-11-30 19:12:53
Gilbert Van Camp ,1,What Indianapolis grocer made his name by selling canned pork and beans to U.S. troops during the Civil War?,187,1.515,105,575243.2999999523,q,S,2058.399999856949,579334.2999999523,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Coca-cola,5,What popular drink was first marketed as a brain tonic?,405,0.807,106,579334.399999857,t,W,2590.7999999523163,590641.0999999046,584448.899999857,588458.6999998093,4,850.5,,HRV,HRV_0197,2022-11-30 19:12:53
The names of the Great Lakes ,2,"What are you trying to remember if you use the mnemonic ""HOMES""?  ",138,1.431,107,590641.0999999046,p,K,2916.2000000476837,595521.6999998093,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Columbia,4,What company introduced the first LP record albums?  ,155,1.751,108,595521.7999999523,q,S,1634.8999998569489,599419.5999999046,,,,,,HRV,HRV_0197,2022-11-30 19:12:53
Bamboo ,6,What were the first modern Olympic pole vaulters' poles made of? ,296,1.928,109,599419.5999999046,t,W,2185.7000000476837,611366.899999857,604123.5,608146.7999999523,4,778.2000000476837,,HRV,HRV_0197,2022-11-30 19:12:53
