Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,rsp,C_SWK,C_SWK_rt,C_AnswerPresent,C_WorthPresent,C_TrialEnd,C_Worth,C_Worth_rt,exp,subjectId,date
Temple Prostitute,7,"Anciently, what was the job description of a ""hierodule""?",21,1.699,10,77790.29999995232,t,W,3603.7000000476837,83910.59999990463,87922.5,92132.69999992847,4,1998.8999999761581,HRV,HRV_0153,2022-11-30 18:00:48
Italy ,4,What country borders both of the world's only two nations with square flags? ,157,1.348,11,92132.79999995232,q,S,2020.2999999523163,,,96013.29999995232,,,HRV,HRV_0153,2022-11-30 18:00:48
Tuxedo Club ,6,What New York country club lent its name to the kind of dinner jacket first worn there in 1886?  ,238,1.321,12,96013.39999997616,q,S,2515.899999976158,,,100366.5,,,HRV,HRV_0153,2022-11-30 18:00:48
Radar,4,What was developed thanks to Christian Hulsmeyer's 1904 invention of the telemobiloscope?  ,275,1.916,13,100366.5,q,S,2690.7999999523163,,,105485.09999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
All in the Family ,1,"What's the only TV show to top the Nielsen ratings five seasons in a row, from 1972 to 1976?  ",311,1.306,14,105485.19999992847,t,W,4268.399999976158,112269.5,116284.5,119885.79999995232,3,1780.5999999046326,HRV,HRV_0153,2022-11-30 18:00:48
South Africa,7,In what country was the largest rough diamond ever discovered?,62,0.801,15,119885.79999995232,q,S,1795.3999999761581,,,122997.89999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
What do women want? ,5,"What was the one question Sigmund Freud said he was unable to answer, despite 30 years of research?",291,1.171,16,122997.89999997616,p,K,2659.399999976158,,,127341.29999995232,,,HRV,HRV_0153,2022-11-30 18:00:48
Pressure,1,What is measured in millibars? ,202,0.725,17,127341.39999997616,q,S,2131.7999999523163,,,130709.59999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
Medicine,4,What industry uses 20% of China's harvested plants?  ,188,1.435,18,130709.69999992847,p,K,2212.100000023842,,,134869.39999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
Columbia,3,What company introduced the first LP record albums?  ,155,1.585,19,134869.39999997616,q,S,1851.8999999761581,,,138821.69999992847,,,HRV,HRV_0153,2022-11-30 18:00:48
Shenandoah Valley,2,What area changed hands 72 times during the Civil War? ,139,1.422,20,138821.79999995232,t,W,2923.5,144261.5,148276.29999995232,151261.19999992847,2,1053.1000000238419,HRV,HRV_0153,2022-11-30 18:00:48
Captain Cook ,3,"Who christened Hawaii ""the Sandwich Islands"" in 1778?  ",363,0.548,21,151261.19999992847,q,S,3324.0,,,155645.29999995232,,,HRV,HRV_0153,2022-11-30 18:00:48
Mung beans ,2,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,1.002,22,155645.29999995232,q,S,2404.100000023842,,,159566.09999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
Utah,4,"What US state advertised ""The Greatest Snow on Earth"" on its license plates? ",273,1.321,23,159566.09999990463,q,S,2691.4000000953674,,,164093.09999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
North Korea,2,"Until 2007, what was the only country in the world not to have registered it's on internet domain suffix, "".kp""?",120,1.96,24,164093.09999990463,q,S,2604.0,,,169181.5,,,HRV,HRV_0153,2022-11-30 18:00:48
Steamboat Geyser,2,"Which Yellowstone geyser, with eruptions 100 fee taller than Old Faithful's, is the world's tallest?",359,0.948,25,169181.5,p,K,2131.5999999046326,,,172773.09999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
George Washington,6,Who is pictured on a US Purple Heart medal? ,368,1.657,26,172773.09999990463,q,S,1740.7000000476837,,,176684.69999992847,,,HRV,HRV_0153,2022-11-30 18:00:48
Honey,6,"What food, still edible, was found by archaeologists in the tombs of Egyptian pharaohs? ",402,0.923,27,176684.69999992847,q,S,1767.8999999761581,,,179884.89999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
Shower curtain ,4,David Schmidt won the 2001 Ig Nobel Prize in Physics for discovering the horizontal vortex that makes what household item blow inward?,33,1.266,28,179884.89999997616,q,S,1748.1999999284744,,,183413.59999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
On a Jell-O box,4,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,0.821,29,183413.69999992847,q,S,2404.100000023842,,,187149.29999995232,,,HRV,HRV_0153,2022-11-30 18:00:48
Ohio,1,Which is the only U.S. state that has a pennant-shaped flag instead of a rectangular one?  ,345,0.761,30,187149.29999995232,t,W,2531.7999999523163,192217.19999992847,196230.19999992847,199429.69999992847,1,1923.5,HRV,HRV_0153,2022-11-30 18:00:48
Chitty Chitty Bang Bang ,3,What was the only children's story ever published by James Bond creator Ian Fleming? ,292,0.843,31,199429.69999992847,q,S,1859.3000000715256,,,202645.19999992847,,,HRV,HRV_0153,2022-11-30 18:00:48
Paris,6,"What city is home to the world's very first pet cemetery, in which Rin Tin Tin is buried?",148,1.906,32,202645.19999992847,p,K,1724.2000000476837,,,206789.69999992847,,,HRV,HRV_0153,2022-11-30 18:00:48
Your blind spot,6,What's the more common name for the retinal scotoma caused by the optic nerve? ,303,1.009,33,206789.69999992847,q,S,1996.1000000238419,,,210310.09999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
Liffey,7,What river runs through Dublin?   ,253,1.751,34,210310.09999990463,q,S,1867.0,,,214445.89999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
chickpeas,2,What is used to make hummus?,424,0.737,35,214445.89999997616,p,K,2219.1999999284744,,,217917.09999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
Columbus Circle ,5,What Manhattan intersection was America's first traffic circle?,228,0.874,36,217917.19999992847,q,S,1588.3999999761581,,,220893.59999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
Sepia,6,What tinting process for black and white photography was named for the genus of cuttlefish that originally provided the pigment?,266,1.742,37,220893.59999990463,q,S,2363.5,,,225517.09999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
India,6,What's the only country outside Africa where lions still live in the wild?  ,307,1.185,38,225517.09999990463,q,S,1787.9000000953674,,,229005.39999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
USA,1,Which country invented volleyball?   ,340,1.976,39,229005.39999997616,t,W,1620.2999999523163,233141.29999995232,237154.19999992847,241301.09999990463,1,1655.1000000238419,HRV,HRV_0153,2022-11-30 18:00:48
the skin and bones of animals,1,What is gelatin made from?,445,0.645,40,241301.19999992847,q,S,1548.1000000238419,,,244005.29999995232,,,HRV,HRV_0153,2022-11-30 18:00:48
Albert Einstein,1,Who beat out FDR and Gandhi to be named Time's Person of the Century in 1999? ,361,1.499,41,244005.29999995232,q,S,1788.0,,,247806.59999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
Czechoslovakia,4,Shirley Temple Black was the U.S. ambassador to what nation at the time of its 1989 revolution?,83,1.562,42,247806.59999990463,q,S,1858.5,,,251741.69999992847,,,HRV,HRV_0153,2022-11-30 18:00:48
A Spoonful of Sugar ,7,What classic Disney song was inspired by lyricist Robert Sherman's fiver-year old son receiving the Sabin polio vaccine at school?,420,1.092,43,251741.69999992847,q,S,1708.1000000238419,,,255053.29999995232,,,HRV,HRV_0153,2022-11-30 18:00:48
Poland,2,What EU nation was once led by a president and a prime minister who were identical twins? ,172,1.108,44,255053.39999997616,q,S,1947.6999999284744,,,258621.79999995232,,,HRV,HRV_0153,2022-11-30 18:00:48
Broccoli! ,4,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,0.87,45,258621.79999995232,q,S,1531.3999999761581,,,261533.29999995232,,,HRV,HRV_0153,2022-11-30 18:00:48
Sixteenth,3,Which Constitutional Amendment deals with the income tax? ,336,1.001,46,261533.29999995232,q,S,1732.0,,,264782.09999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
Sri Lanka,1,Ninety percent of the world's true cinnamon comes from what island nation? ,74,1.61,47,264782.09999990463,t,W,3059.100000023842,270357.39999997616,274370.59999990463,278165.0,3,1671.2000000476837,HRV,HRV_0153,2022-11-30 18:00:48
Thomas Nast ,3,Which cartoonist is famous for creating the popular image of Santa Claus? ,333,1.481,48,278165.0,q,S,1892.2999999523163,,,282053.59999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
Cygnet ,6,What is the name given to a young swan? ,207,1.212,49,282053.59999990463,p,K,1755.7000000476837,,,285534.1999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
The Stanley Cup ,3,Where is Jacques Plante's name misspelled five of the six times it appears? ,318,1.276,50,285534.1999999285,q,S,1795.1000000238419,,,289117.7999999523,,,HRV,HRV_0153,2022-11-30 18:00:48
Oxygen,6,"By a wide margin (more than 3:2), what's the most abundant element in the Earth's crust?",28,0.842,51,289117.7999999523,q,S,1907.6000000238419,,,292381.09999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
Montenegro,4,What European country is named for the dark-looking Dinaric Alps? ,173,1.424,52,292381.09999990463,q,S,1676.1000000238419,,,295997.89999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
The Hindenburg explosion,6,"What event inspired Herbert Morrison's famous quote ""Oh, the humanity!""?",174,1.782,53,295998.0,p,K,1987.6999999284744,,,300285.09999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
Belgium,4,Where were French fries invented?,437,0.891,54,300285.09999990463,p,K,1820.0,,,303509.6999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
Bruce Springsteen's Born in the USA ,5,What was the first CD pressed for commerical release in the U.S.?,282,1.748,55,303509.6999999285,q,S,1659.3999999761581,,,307429.1999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
Haddock,1,"If you ordered an Omelet Arnold Bennett, what fish would you find in it?",429,0.999,56,307429.1999999285,q,S,1580.1000000238419,,,310525.89999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
Paris,2,"Student protests in which capital city inspired John Lennon's song  ""Revolution""? ",86,1.328,57,310525.89999997616,t,W,3419.1999999284744,316461.5,320474.0,323701.0,4,1383.5999999046326,HRV,HRV_0153,2022-11-30 18:00:48
Dragees,1,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,1.147,58,323701.09999990463,p,K,2716.100000023842,,,328077.39999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
The World Almanac and Book of Facts,4,What reference classic is still named for the defunct New York newspaper that first published it in 1868?,250,0.844,59,328077.39999997616,q,S,1667.6999999284744,,,331102.0,,,HRV,HRV_0153,2022-11-30 18:00:48
Adlai Stevenson,2,Who twice lost presidential elections to Dwight Eisenhower in the 1950s?  ,375,1.442,60,331102.0,p,K,1883.0999999046326,,,334941.6999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
Cockroach,7,What animal can live up to a week without its head?,131,0.873,61,334941.6999999285,p,K,1507.7000000476837,,,337837.1999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
Liberia,7,"Before his ears were cut off in 1990 by a political rival, what nation was ruled by dictator Samuel Doe?",27,1.131,62,337837.2999999523,q,S,1956.1000000238419,,,341437.7999999523,,,HRV,HRV_0153,2022-11-30 18:00:48
Rod Serling ,2,What famed TV personality wrote the screenplay for 1968's Planet of the Apes? ,175,1.507,63,341437.7999999523,q,S,1563.8999999761581,,,345023.0,,,HRV,HRV_0153,2022-11-30 18:00:48
a spit,4,"If something is described as rotisserie, what has it been cooked on?",428,0.794,64,345023.0,q,S,1506.2999999523163,,,347837.7999999523,,,HRV,HRV_0153,2022-11-30 18:00:48
Crocodiles,1,"Which animals swallow large stones, which remain in their bellies and are thought to be used as ballasts for diving?",330,1.097,65,347837.7999999523,q,S,2523.2000000476837,,,351973.5,,,HRV,HRV_0153,2022-11-30 18:00:48
Texas,5,"In what state was the U.S.'s first ""Adopt-a-Highway"" program started?",67,1.821,66,351973.59999990463,p,K,1972.0,,,356276.5,,,HRV,HRV_0153,2022-11-30 18:00:48
citrus fruit (scurvy is caused by a lack of vitamin c),3,Sailors used to suffer from a horrible illness called scurvy. Which food prevents scurvy?,441,0.866,67,356276.5,p,K,1828.6999999284744,,,359486.39999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
Midnight Cowboy ,3,What was the only X-rated film to win the Academy Award for Best Picture?  ,293,1.305,68,359486.39999997616,q,S,1538.7999999523163,,,362844.2999999523,,,HRV,HRV_0153,2022-11-30 18:00:48
The Netherlands,1,In 1568 the Catholic Church sentenced the entire population of which nation to death as heretics?,47,1.725,69,362844.39999997616,q,S,1724.7999999523163,,,366804.39999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
American Pie,6,What was the name of the plane Buddy Holly died in?  ,289,0.543,70,366804.39999997616,q,S,1596.8999999761581,,,369461.0,,,HRV,HRV_0153,2022-11-30 18:00:48
Peanuts ,2,What snack food is an ingredient in the explosive dynamite?  ,408,1.683,71,369461.09999990463,p,K,1540.1000000238419,,,373197.6999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
The budgerigar,1,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,0.795,72,373197.6999999285,q,S,1980.2000000476837,,,376486.0,,,HRV,HRV_0153,2022-11-30 18:00:48
George Orwell ,1,"Whose first book was ""Down and Out in Paris and London"", about his year among the poverty-stricken underclass of those cities?",388,1.009,73,376486.0,t,W,1571.0999999046326,380574.0,384585.2999999523,386909.7999999523,4,800.2999999523163,HRV,HRV_0153,2022-11-30 18:00:48
Cornea,5,What is the only part of the body that has no blood supply? ,211,1.35,74,386909.7999999523,q,S,1851.2999999523163,,,390630.2999999523,,,HRV,HRV_0153,2022-11-30 18:00:48
honey,7,Which is the only food that can never go off or go bad?,442,1.118,75,390630.2999999523,p,K,1819.0,,,394077.7999999523,,,HRV,HRV_0153,2022-11-30 18:00:48
Bouquet,1,"Young wines are said to have ""aroma."" What do older wines have instead?",395,1.503,76,394077.7999999523,p,K,2756.100000023842,,,398857.89999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
There was a pound of every ingredient in the original reciipe. ,7,How did the pound cake get its name?,460,1.86,77,398857.89999997616,q,S,1735.2999999523163,,,402965.5,,,HRV,HRV_0153,2022-11-30 18:00:48
Canadian Oil,7,What is canola an abbreviation for?,436,1.929,78,402965.59999990463,q,S,1659.5,,,407069.09999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
The crocodile,5,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,0.737,79,407069.09999990463,q,S,1692.6000000238419,,,410013.89999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
Syzygy,5,What's the astronomical term for three celestial bodies aligning?   ,302,1.353,80,410013.89999997616,p,K,1811.1999999284744,,,413694.09999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
"Intercourse, Pennsylvania",7,"What Amish country village in Pennsylvania, where ""Witness"" was filmed, is a frequent victim of street-sign theft?",130,1.129,81,413694.1999999285,q,S,1803.0,,,417141.7999999523,,,HRV,HRV_0153,2022-11-30 18:00:48
Every jar of peanut butter must be at least 90% peanuts,2,What percentage of peanuts is found in a standard jar of peanut butter?,423,0.674,82,417141.89999997616,q,S,2051.899999976158,,,420381.0,,,HRV,HRV_0153,2022-11-30 18:00:48
Ivory Coast's ,6,"The world's largest church is Our Lady of Peace Basilica in Yamoussoukro, what nation's capital?",111,1.513,83,420381.0,q,S,2460.1999999284744,,,424868.6999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
A Hawaiian goose,2,What is a nene?,195,1.439,84,424868.6999999285,p,K,1660.3999999761581,,,428484.89999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
"the Red Hot Chili Peppers, followed closely by Meatloaf",7,Some bands share a name with a food. Which band named after a foodstuff has sold the most records?,439,1.411,85,428484.89999997616,q,S,1612.2999999523163,,,432021.7999999523,,,HRV,HRV_0153,2022-11-30 18:00:48
Mexico ,4,"In what nation did the woven-yarn craft of ""God's eyes"" originate? ",65,1.885,86,432021.7999999523,q,S,1811.3999999761581,,,436230.1999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
Coca-cola,1,What popular drink was first marketed as a brain tonic?,405,1.351,87,436230.1999999285,t,W,1811.0,440558.0,444570.59999990463,447206.0,5,766.6000000238419,HRV,HRV_0153,2022-11-30 18:00:48
Bacon,4,"In Britain, what kind of meat comes in rashers?",397,0.933,88,447206.0,q,S,2595.1999999284744,,,451246.1999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
Penny Marshall,5,Who was the first woman film director to have a film take in more than $100 million at the box office? ,380,0.6,89,451246.1999999285,q,S,1643.1000000238419,,,454005.6999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
The popsicle,1,Which popular treat was invented by an 11-year-old in California? ,413,1.816,90,454005.6999999285,q,S,1876.1000000238419,,,458212.89999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
Bright red,5,Vitamin A is largely available in natural food sources with which colour?,448,1.763,91,458213.0,q,S,1668.2999999523163,,,462157.5,,,HRV,HRV_0153,2022-11-30 18:00:48
Rafflesia (corpse lily) ,4,What is the largest flower in the world? ,204,1.908,92,462157.5,q,S,2259.899999976158,,,466837.0,,,HRV,HRV_0153,2022-11-30 18:00:48
pastry,5,Choux and filo are two types of what food product?,446,1.016,93,466837.0,q,S,1796.0999999046326,,,470164.59999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
Queen Isabella I ,5,"In 1893, who became the first woman ever to appear on a U.S. postage stamp?",50,0.766,94,470164.59999990463,q,S,2340.8000000715256,,,473782.09999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
Mae West,2,"Because her name became a slang term for a life preserver, who is the only actress whose name is an entry in Merriam-Webster's?",26,1.103,95,473782.09999990463,p,K,2147.2000000476837,,,477550.2999999523,,,HRV,HRV_0153,2022-11-30 18:00:48
Honda's Civic,2,"After Toyota's Corolla, what coupe introduced in 1972 is the second oldest Japanese car model still on the market?",17,0.582,96,477550.2999999523,t,W,1803.6000000238419,481869.39999997616,485883.6999999285,488348.89999997616,4,1365.7000000476837,HRV,HRV_0153,2022-11-30 18:00:48
The Loch Ness Monster,6,"In 1994, Christian Spurling confessed that the so-called Surgeon's Photo of 1934 was a fake. What was pictured in it?",55,1.919,97,488348.89999997616,q,S,2933.0,,,493717.2999999523,,,HRV,HRV_0153,2022-11-30 18:00:48
"The code is ""SUX"" ",7,Why has Sioux Falls Regional Airport in South Dakota been trying to change its three-letter airport designation for years?,392,1.896,98,493717.2999999523,q,S,1636.1000000238419,,,497764.89999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
Black,4,What color lipstick did silent movie stars wear?  ,151,0.693,99,497764.89999997616,q,S,1564.2999999523163,,,500533.39999997616,,,HRV,HRV_0153,2022-11-30 18:00:48
Dragonflies,2,"Which insect, one of the fastest, can fly at speeds up to 60 mph? ",342,1.628,100,500533.39999997616,q,S,1708.3999999761581,,,504380.59999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
coca-cola,5,Which famous soft drink was invented in 1892?,425,1.782,101,504380.59999990463,q,S,1660.8000000715256,,,508333.5,,,HRV,HRV_0153,2022-11-30 18:00:48
Condoleeza (con dolcezza) Rice ,5,"Whose unusual first name is derived from an Italian musical term for ""with sweetness""? ",390,1.635,102,508333.5,p,K,2092.0,,,512573.7999999523,,,HRV,HRV_0153,2022-11-30 18:00:48
It causes sour foods subsequently consumed to taste sweet. ,1,Why is the Synsepalum dulcificum berry called the miracle fruit?,464,0.777,103,512573.7999999523,q,S,1619.5,,,515485.5,,,HRV,HRV_0153,2022-11-30 18:00:48
Pandemonium,3,"What noisy word comes from the capital of Hell in Milton's ""Paradise Lost""? ",239,1.659,104,515485.59999990463,q,S,1859.8000000715256,,,519517.09999990463,,,HRV,HRV_0153,2022-11-30 18:00:48
Sao Paulo,6,What's the most populous city in the Southern Hemisphere?,304,1.968,105,519517.09999990463,q,S,1892.2000000476837,,,523892.5,,,HRV,HRV_0153,2022-11-30 18:00:48
Matches,7,"Which accidentally invented household items were first marketed as ""friction lights""? ",322,0.812,106,523892.5,q,S,1677.3999999761581,,,526894.0999999046,,,HRV,HRV_0153,2022-11-30 18:00:48
Plumbing,7,"What common English word derives from the Latin for ""lead"", for the Roman practice of making water pipes out of lead?",153,0.694,107,526894.1999999285,q,S,3475.100000023842,,,531573.1999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
over 10 billion donuts. ,6,How many donuts are concumed in the US every year?,463,1.428,108,531573.2999999523,p,K,4308.399999976158,,,537821.7999999523,,,HRV,HRV_0153,2022-11-30 18:00:48
Espresso,5,The Italian government regulates the price of what beverage?,399,1.99,109,537821.7999999523,p,K,1699.6000000238419,,,542028.8999999762,,,HRV,HRV_0153,2022-11-30 18:00:48
Westminster Kennel Club dog show ,4,What is the second oldest continuously held American sporting event?  ,214,1.146,110,542028.8999999762,q,S,1884.2999999523163,,,545573.3999999762,,,HRV,HRV_0153,2022-11-30 18:00:48
Habanero,7,What chili pepper was believed the hottest in the world until the Naga Jolokia pepper was discovered in India in 2000?,401,0.865,111,545573.3999999762,q,S,2180.2999999523163,,,549133.0999999046,,,HRV,HRV_0153,2022-11-30 18:00:48
Juvenile deliquent,1,What did popular author J.D. Salinger reveal the first two intials in his name to stand for?  ,163,0.633,112,549133.0999999046,t,W,1780.2000000476837,553430.0,557442.2999999523,562013.3999999762,2,3423.600000023842,HRV,HRV_0153,2022-11-30 18:00:48
The Mona Lisa,4,Pablo Picasso was one of the suspects questioned when what item was stolen in Paris in 1911? ,78,0.563,113,562013.3999999762,p,K,2004.0,,,565094.0,,,HRV,HRV_0153,2022-11-30 18:00:48
Choking on food,7,"Each year, approximately 125 people die of what? ",417,0.796,114,565094.0,q,S,1883.1999999284744,,,568284.1999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
Carbon,2,What element must be burned out of pig iron to make steel? ,170,0.922,115,568284.1999999285,q,S,2317.100000023842,,,572061.0999999046,,,HRV,HRV_0153,2022-11-30 18:00:48
cheese ,4,What item of food holds the world record for being the most stolen item of food in the world?,444,0.609,116,572061.0999999046,q,S,2404.600000023842,,,575589.5,,,HRV,HRV_0153,2022-11-30 18:00:48
Tuesday,2,Greeks consider which day of the week the unluckiest because it is the day that Constantinople fell in 1453? ,43,0.916,117,575589.5,p,K,1931.8999999761581,,,578950.2999999523,,,HRV,HRV_0153,2022-11-30 18:00:48
Mushrooms which have been exposed to light,1,What is the only non-animal natural source of vitamin D?,459,1.501,118,578950.2999999523,p,K,1947.1000000238419,,,582909.6999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
Pachyderm,2,"What word comes to us from the Greek for ""thick-skinned""?  ",297,1.364,119,582909.6999999285,q,S,2067.899999976158,,,586854.0999999046,,,HRV,HRV_0153,2022-11-30 18:00:48
The nock,5,What slot on the back of an arrow's shaft keeps it on the bowstring? ,259,1.212,120,586854.0999999046,q,S,1531.2000000476837,,,590109.6999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
"the white flesh that houses the seeds, known as the placenta",1,What is the hottest part of a chili?,432,0.577,121,590109.7999999523,q,S,1715.3999999761581,,,592918.0999999046,,,HRV,HRV_0153,2022-11-30 18:00:48
potein,4,"What nutrient comes from meat, eggs, and fish?",433,0.669,122,592918.0999999046,p,K,1763.0,,,595861.6999999285,,,HRV,HRV_0153,2022-11-30 18:00:48
Coca-Cola,7,"""Project Kansas"" was the name for the top secret 1985 attempt to revamp what product?",416,1.632,123,595861.7999999523,q,S,1612.1000000238419,,,599621.3999999762,,,HRV,HRV_0153,2022-11-30 18:00:48
Monday,2,The risk of heart attack is highest on which day of the week?,104,1.865,124,599621.3999999762,q,S,2039.8999999761581,,,604036.7999999523,,,HRV,HRV_0153,2022-11-30 18:00:48
