Answer,C_Pay,Question,QuestionNum,jitter,C_Trial,C_QPresent,trialEvents,rsp,C_SWK,C_SWK_rt,C_TrialEnd,C_AnswerPresent,C_WorthPresent,C_Worth,C_Worth_rt,exp,subjectId,date
Sunrise or sunset,7,"When is the optical phenomenon called a ""green flash"" or ""green ray"" visible?  ",313,0.508,13,79398.20000000298,,p,K,1813.7999999970198,82230.79999999702,,,,,HRV,HRV_0272,2022-11-30 20:06:44
"the Red Hot Chili Peppers, followed closely by Meatloaf",1,Some bands share a name with a food. Which band named after a foodstuff has sold the most records?,439,1.265,14,82230.79999999702,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 82559.79999999702, 'date time': 1669838282357}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 91751.89999999106, 'date time': 1669838291549}]",,,,91752.29999999702,,,,,HRV,HRV_0272,2022-11-30 20:06:44
The Stanley Cup ,2,Where is Jacques Plante's name misspelled five of the six times it appears? ,318,1.007,15,91752.39999999106,,p,K,1665.2000000029802,94943.20000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Bolivia,1,"Of all the countries named for a person, which country is named for the person who lived most recently?",75,1.968,16,94943.20000000298,,q,S,3004.5,100445.09999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Russia,2,Which country has the most public libraries?  ,339,1.441,17,100445.29999999702,,q,S,1886.9000000059605,104285.09999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Coca-Cola,6,"The BBC once banned the Beatles' ""Come Together"" for ""advertising"" what product in the lyrics?",93,1.545,18,104285.09999999404,,q,S,1818.9000000059605,108165.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Cell,4,Robert Hooke coined what scientific term after looking at a piece of cork under a microscope?,81,1.547,19,108165.89999999106,,q,S,1827.800000011921,112074.59999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Matches,6,"Which accidentally invented household items were first marketed as ""friction lights""? ",322,1.829,20,112074.70000000298,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 114697.59999999404, 'date time': 1669838314490}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 114704.09999999404, 'date time': 1669838314497}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 116524.70000000298, 'date time': 1669838316317}]",q,S,1908.699999988079,116525.0,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Butt,7,The adjective callipygian refers to someone who has a beautiful what? ,88,1.519,21,116525.09999999404,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 116526.29999999702, 'date time': 1669838316319}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 118668.20000000298, 'date time': 1669838318461}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 118817.5, 'date time': 1669838318610}]",q,S,1731.2000000029802,120715.59999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Bile,5,"Two of the ""four humors"" the ancients believed controlled temperament consist of what bodily fluid?",118,1.458,22,120715.59999999404,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 127524.20000000298, 'date time': 1669838327317}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 127531.29999999702, 'date time': 1669838327324}]",q,S,7266.9000000059605,129960.29999999702,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Ohio,1,Which is the only U.S. state that has a pennant-shaped flag instead of a rectangular one?  ,345,1.993,23,129960.29999999702,,q,S,1738.7999999970198,134199.70000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Mung beans ,4,What kind of bean produces the Asian-style bean sprouts in the produce section of supermarkets? ,404,1.325,24,134199.70000000298,,q,S,1839.7999999970198,137885.70000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Pachyderm,3,"What word comes to us from the Greek for ""thick-skinned""?  ",297,1.764,25,137885.70000000298,,q,S,1591.5999999940395,141771.20000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Belgium,3,Where were French fries invented?,437,1.852,26,141771.20000000298,,q,S,2042.0,146185.29999999702,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Jim Lovell,7,Alan Shepard was scheduled to command the ill-fated Apollo 13 before switching missions with what astronaut?,18,1.195,27,146185.29999999702,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 149374.89999999106, 'date time': 1669838349168}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 149385, 'date time': 1669838349178}]",q,S,1966.2000000029802,150717.5,,,,,HRV,HRV_0272,2022-11-30 20:06:44
60 fragments per 100 gram ,4,What amount of insects does the FDA allow in chocolate,453,1.217,28,150717.59999999404,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 151867.5, 'date time': 1669838351660}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 151869, 'date time': 1669838351662}]",q,S,1870.9000000059605,154320.59999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Brine Shrimp ,5,"What kind of animal is Artemia Salina, the ""sea monkey"" of novelty pet ad fame? ",222,0.717,29,154320.70000000298,,p,K,2006.0999999940395,157570.70000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Carbon,7,What element must be burned out of pig iron to make steel? ,170,0.606,30,157570.70000000298,,p,K,1656.5999999940395,160361.09999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
A jenny ,7,What is a female donkey called?,194,1.938,31,160361.09999999404,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 164845.20000000298, 'date time': 1669838364640}]",p,K,2546.5,165377.29999999702,,,,,HRV,HRV_0272,2022-11-30 20:06:44
An ostrich egg yolk ,4,What grapefruit-sized object has been reckoned to be the largest single cell on earth? ,183,1.324,32,165377.29999999702,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 166699.5, 'date time': 1669838366494}]",q,S,2056.7000000029802,169295.59999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Lou Gehrig,6,"In 1934, five years before his retirement, who became the first athlete to appear on a Wheaties box? ",53,0.871,33,169295.59999999404,,p,K,2035.6000000089407,172724.20000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Cornea,3,What is the only part of the body that has no blood supply? ,211,1.948,34,172724.20000000298,,p,K,2016.7999999970198,177205.29999999702,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Throat,2,Where in the human body is the only bone that is not jointed to another?  ,317,1.991,35,177205.29999999702,,p,K,1570.5,181284.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Midnight Cowboy ,4,What was the only X-rated film to win the Academy Award for Best Picture?  ,293,1.068,36,181284.89999999106,,p,K,1572.7000000029802,184461.09999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Grover Cleveland ,7,Who was the only U.S. president to have been married in the White House? ,385,1.614,37,184461.09999999404,,p,K,1541.5,188155.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Air bags,2,"Sodium azide, a highly toxic chemical, is best-known for being used to develop what lifesaving devices?",84,1.933,38,188155.89999999106,,p,K,1683.2000000029802,192295.5,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Capitol Hill,6,"Until 1790, what was known as Jenkins Hill? ",119,0.893,39,192295.5,,p,K,1854.5,195575.20000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
It causes sour foods subsequently consumed to taste sweet. ,1,Why is the Synsepalum dulcificum berry called the miracle fruit?,464,0.798,40,195575.20000000298,,p,K,1544.2999999970198,198441.20000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Papillae,5,What are the bumps on the tongue that carry the taste buds called? ,137,0.843,41,198441.29999999702,,p,K,1587.7000000029802,201395.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Gabriele Falloppio ,3,What Italian physician was the first to describe the way the ovaries connect to the uterus in humans?,217,1.681,42,201395.89999999106,,p,K,1531.300000011921,205121.20000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Espresso,6,The Italian government regulates the price of what beverage?,399,1.509,43,205121.29999999702,,q,S,1788.7000000029802,208934.70000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
American Pie,2,What was the name of the plane Buddy Holly died in?  ,289,0.568,44,208934.79999999702,,p,K,4354.5,214385.29999999702,,,,,HRV,HRV_0272,2022-11-30 20:06:44
San Fancisco,5,"""Dear Abby"" first appeared in a newspaper of what city?",2,1.377,45,214385.29999999702,,q,S,1774.7000000029802,218055.39999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Camel,7,Which animal's milk does not curdle? ,328,0.737,46,218055.39999999106,,p,K,2540.800000011921,221855.09999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
pastry,1,Choux and filo are two types of what food product?,446,1.116,47,221855.09999999404,,p,K,2997.2000000029802,226495.59999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
The Hardy Boys ,1,"Who solves crimes in Bayport, located on Barmet Bay? ",374,1.447,48,226495.59999999404,,p,K,3030.4000000059605,231505.70000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Paris,6,"Student protests in which capital city inspired John Lennon's song  ""Revolution""? ",86,1.391,49,231505.70000000298,,p,K,2241.3999999910593,235665.79999999702,,,,,HRV,HRV_0272,2022-11-30 20:06:44
The crocodile,2,The Egyptian plover is a bird best known for its symbiotic relationship with what host animal?,95,1.243,50,235665.89999999106,,p,K,1528.2000000029802,238958.70000000298,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Broccoli! ,1,Whice vegeteable has more vitamin C than an orange and as much calcium as whole milk?,456,1.329,51,238958.70000000298,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 239141.89999999106, 'date time': 1669838438938}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 239151.29999999702, 'date time': 1669838438947}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 240501.59999999404, 'date time': 1669838440298}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 240502.70000000298, 'date time': 1669838440299}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 241807.70000000298, 'date time': 1669838441604}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 241817.5, 'date time': 1669838441614}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 242632.20000000298, 'date time': 1669838442428}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 242635.70000000298, 'date time': 1669838442432}]",q,S,1932.0999999940395,242746.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Jamaica Bay,4,"What lagoon south of Queens, New York, is named for a local Indian tribe and has nothing to do Caribbean?",226,0.578,52,242746.89999999106,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 245029.20000000298, 'date time': 1669838444825}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 245040.39999999106, 'date time': 1669838444837}]",q,S,1685.1000000089407,245714.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Rooster,6,What animal is combined with a serpent to make the mythical creature the Cockatrice? ,268,1.899,53,245714.89999999106,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 245836, 'date time': 1669838445632}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 245837.79999999702, 'date time': 1669838445634}]",q,S,2136.300000011921,250268.59999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
As Good As It Gets ,7,"What Jack Nicholson comedy was translated as ""Mr. Cat Poop"" in Cantonese when it was released in China?",218,1.052,54,250268.59999999404,,t,W,1632.4000000059605,261346.59999999404,254435.79999999702,258458.39999999106,3,1314.9000000059605,HRV,HRV_0272,2022-11-30 20:06:44
Bruce Springsteen's Born in the USA ,6,What was the first CD pressed for commerical release in the U.S.?,282,0.607,55,261346.79999999702,,q,S,3636.2000000029802,266115.0,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Eisenhower ,7,Who was president when the first U.S. presidential news conference was filmed for TV?,378,1.101,56,266115.0,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 272997.700000003, 'date time': 1669838472794}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 273006.200000003, 'date time': 1669838472802}]",p,K,5918.5,273715.39999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Sweden,2,What nation's dyslexic king Carl XVI Gustaf misspelled his own name on the accession document that gave him the throne?,237,1.034,57,273715.39999999106,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 274533.59999999404, 'date time': 1669838474330}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 274536.09999999404, 'date time': 1669838474332}]",p,K,1895.800000011921,277185.59999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Toledo,1,"The world's first ""sister cities"" were what Spanish city and its midwestern namesake?",110,1.062,58,277185.700000003,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 277698.700000003, 'date time': 1669838477495}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 277709.89999999106, 'date time': 1669838477506}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 278782.700000003, 'date time': 1669838478579}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 278786.09999999404, 'date time': 1669838478582}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 280165.200000003, 'date time': 1669838479961}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 280172, 'date time': 1669838479968}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 281605.200000003, 'date time': 1669838481401}]",p,K,2020.5,281605.39999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
The budgerigar,7,"What pet bird takes its name from Australian Aborigine words for ""good eating""?",244,1.116,59,281605.39999999106,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 281607.299999997, 'date time': 1669838481403}]",p,K,2365.4000000059605,285605.200000003,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Don Adams,1,Who provided the voice for cartoon character Inspector Gadget? ,372,1.352,60,285605.299999997,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 285644.09999999404, 'date time': 1669838485439}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 285649, 'date time': 1669838485444}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 287607.59999999404, 'date time': 1669838487402}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 287609.09999999404, 'date time': 1669838487404}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 289127.09999999404, 'date time': 1669838488922}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 289137.59999999404, 'date time': 1669838488932}]",p,K,2451.5999999940395,290720.799999997,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Japan ,1,What nation is home to the only tunnel in the world longer than the Chunnel?  ,236,0.876,61,290720.799999997,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 290751.700000003, 'date time': 1669838490546}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 290752.59999999404, 'date time': 1669838490547}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 293675.299999997, 'date time': 1669838493470}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 293684.59999999404, 'date time': 1669838493479}]",p,K,1633.7999999970198,294716.0,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Speed of wind,3,What does an anemometer measure? ,168,1.407,62,294716.09999999404,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 295414.200000003, 'date time': 1669838495209}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 295417.39999999106, 'date time': 1669838495212}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 297621, 'date time': 1669838497416}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 297631.59999999404, 'date time': 1669838497426}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 299397.299999997, 'date time': 1669838499192}]",p,K,2168.0,299397.59999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
The bishop,5,Which chess piece was originally called 'the elephant'? ,334,0.836,63,299397.700000003,"[{'event': 'onfocus', 'details': 'in focus', 'performance time': 299400.299999997, 'date time': 1669838499195}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 302107.299999997, 'date time': 1669838501902}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 302114.700000003, 'date time': 1669838501909}]",p,K,1803.8999999910593,302715.700000003,,,,,HRV,HRV_0272,2022-11-30 20:06:44
James Buchanan ,7,Who was the only U.S. president never to be married?,383,0.822,64,302715.700000003,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 304157.700000003, 'date time': 1669838503952}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 304159.39999999106, 'date time': 1669838503954}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 305347.299999997, 'date time': 1669838505142}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 305358.09999999404, 'date time': 1669838505153}]",p,K,1968.8999999910593,306725.5,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Ozone,2,"What molecule is named for the Greek word for ""smell,"" because of the odor associated with lightning storms?",232,1.461,65,306725.5,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 307674.799999997, 'date time': 1669838507469}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 307675.5, 'date time': 1669838507470}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 309922.700000003, 'date time': 1669838509717}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 309932.299999997, 'date time': 1669838509727}]",p,K,2286.5999999940395,311715.39999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
NY,3,In which state was the first execution by electric chair?  ,70,0.991,66,311715.39999999106,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 313752.89999999106, 'date time': 1669838513548}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 313754.700000003, 'date time': 1669838513549}]",p,K,2441.6000000089407,315663.39999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Everything ,2,Pantophobia is the fear of what?,79,0.919,67,315663.39999999106,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 318293.5, 'date time': 1669838518088}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 318301.59999999404, 'date time': 1669838518096}]",p,K,1911.4000000059605,319715.59999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
"the white flesh that houses the seeds, known as the placenta",5,What is the hottest part of a chili?,432,0.996,68,319715.59999999404,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 319910.799999997, 'date time': 1669838519705}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 319913.200000003, 'date time': 1669838519708}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 322771, 'date time': 1669838522566}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 322779.200000003, 'date time': 1669838522574}]",p,K,1906.7000000029802,323724.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Yahoo!,6,What Internet portal was sued for copyright infringement in 2000 by the star of Young Einstein? ,190,0.721,69,323724.89999999106,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 329002, 'date time': 1669838528797}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 329003.700000003, 'date time': 1669838528798}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 330123.700000003, 'date time': 1669838529918}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 330132.89999999106, 'date time': 1669838529928}]",p,K,5737.600000008941,330715.299999997,,,,,HRV,HRV_0272,2022-11-30 20:06:44
On a Jell-O box,7,"Where would you see the consumer warning ""Do not use fresh or frozen pineapple, kiwi, ginger-root, papaya, figs, or guava""?",411,0.598,70,330715.299999997,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 331762.89999999106, 'date time': 1669838531558}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 331763.799999997, 'date time': 1669838531558}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 333503.09999999404, 'date time': 1669838533298}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 333511.700000003, 'date time': 1669838533306}]",p,K,2164.7000000029802,334714.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Betty Rubble,1,Which core Flintstones cast member was absent from Flintstone vitamins until 1996? ,337,1.991,71,334715.0,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 335731.39999999106, 'date time': 1669838535526}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 335731.89999999106, 'date time': 1669838535527}]",p,K,2873.8999999910593,340085.799999997,,,,,HRV,HRV_0272,2022-11-30 20:06:44
"Portland, Oregon",6,What city at the intersection of I-5 and I-84 is home to America's most courteous drivers according to a 2007 study? ,146,1.257,72,340085.799999997,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 343281.299999997, 'date time': 1669838543076}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 343291.700000003, 'date time': 1669838543086}]",p,K,2545.5999999940395,344711.09999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Arthur Conan Doyle,7,"What gullible author believed that Harry Houdini had ""wonderful powers"" after Houdini showed him the child's trick of pretending to remove his thumb? ",184,0.651,73,344711.09999999404,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 346453.59999999404, 'date time': 1669838546248}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 346454.39999999106, 'date time': 1669838546248}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 347513, 'date time': 1669838547307}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 347523.299999997, 'date time': 1669838547317}]",p,K,2134.7999999970198,348716.89999999106,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Pride and Prejudice,1,"""An Assembly Such as This"" was a retelling of what famous literary work from a different character's point of view?",1,1.015,74,348717.0,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 351685.39999999106, 'date time': 1669838551479}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 351687.39999999106, 'date time': 1669838551481}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 352525.200000003, 'date time': 1669838552319}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 352532.39999999106, 'date time': 1669838552326}]",p,K,3233.2999999970198,353715.59999999404,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Ear ,4,"The pinna is the outer, visible part of what?",103,0.641,75,353715.59999999404,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 355901.200000003, 'date time': 1669838555695}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 355903.39999999106, 'date time': 1669838555697}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 357038.700000003, 'date time': 1669838556833}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 357048.89999999106, 'date time': 1669838556843}]",p,K,2709.1000000089407,357715.799999997,,,,,HRV,HRV_0272,2022-11-30 20:06:44
George Marshall,4,What future secretary of state became America's first five-star general in December 1944? ,181,1.383,76,357715.799999997,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 360104.700000003, 'date time': 1669838559899}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 360107.700000003, 'date time': 1669838559902}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 362003, 'date time': 1669838561797}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 362010.799999997, 'date time': 1669838561805}]",p,K,3072.5999999940395,362721.0,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Dragees,7,"What are the sugared almonds, traditionally thrown over the bride and groom at a wedding, called?",430,1.553,77,362721.0,"[{'event': 'visibilitychange', 'details': 'visible', 'performance time': 362772, 'date time': 1669838562566}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 362774.799999997, 'date time': 1669838562569}]",p,K,2396.2999999970198,367185.200000003,,,,,HRV,HRV_0272,2022-11-30 20:06:44
Fiber is the gut bacteria's preferred fuel source. ,4,What food is most beneficial for your gut bacteria?,458,1.122,78,367185.200000003,"[{'event': 'onblur', 'details': 'out of focus', 'performance time': 367231, 'date time': 1669838567025}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 367240.200000003, 'date time': 1669838567034}, {'event': 'visibilitychange', 'details': 'visible', 'performance time': 370169.59999999404, 'date time': 1669838569964}, {'event': 'onfocus', 'details': 'in focus', 'performance time': 370173.200000003, 'date time': 1669838569967}, {'event': 'onblur', 'details': 'out of focus', 'performance time': 371287.299999997, 'date time': 1669838571081}, {'event': 'visibilitychange', 'details': 'hidden', 'performance time': 371297.700000003, 'date time': 1669838571092}]",p,K,3390.199999988079,372716.700000003,,,,,HRV,HRV_0272,2022-11-30 20:06:44
