"","QuestionNum","Question","AnswerUse","Curiosity","Satisfy","More","CurSD","SatSD","MoreSD","KnowNO","KnowTOT","KnowYES","Count","KnowNOprop","KnowYESprop","KnowTOTprop","CurSD_z"
"23",24,"According to Thomas Malory, Sir Bedivere's last knightly act is to return what to a lake?","Excalibur",54.5813953488372,63.4651162790698,42.5581395348837,31.669598278941,31.038646292592,32.3126853503619,32,5,6,43,0.744186046511628,0.13953488372093,0.116279069767442,-0.315935435104835
"24",25,"After a fever took his hearing, who painted his bleak ""Black Paintings"" in a house called Quinta del Sordo, Spanish for ""House of the Deaf Man""?","Francisco Goya",58.906976744186,54.6976744186046,50.6046511627907,35.1431182408437,30.0035988981964,32.8989358164,34,5,5,44,0.772727272727273,0.113636363636364,0.113636363636364,0.903062201984152
"25",26,"After almost four hundred years of fruitless searching, what was finally navigated by Roald Amundsen in 1906?","The Northwest Passage",48.2619047619048,46.7380952380952,44.0952380952381,34.4263508857355,32.6168141015803,29.947767149806,33,6,3,42,0.785714285714286,0.0714285714285714,0.142857142857143,0.651519754610157
"26",27,"After his death, who was hung upside down from an Esso filling station in Milan's Piazzale Loreto?","Benito Mussolini",44.5333333333333,58.5333333333333,50.2666666666667,33.7838046191582,31.544773374883,33.7998117262104,32,4,9,45,0.711111111111111,0.2,0.0888888888888889,0.426024467619195
"27",28,"After humans, what's the worlds most abundant mammal species?","Mice",73.5652173913043,58.5652173913044,35.6521739130435,30.7149273690338,31.0831516877002,33.6473326605406,28,7,10,46,0.608695652173913,0.217391304347826,0.152173913043478,-0.650967793098518
"29",30,"After the 1990 NFL draft, who found himself teammates with his Heisman Trophy successor, Andre Ware?","Barry Sanders",35,48.9722222222222,23.5833333333333,33.6621873493518,34.3656690077351,28.977207792135,30,3,3,36,0.833333333333333,0.0833333333333333,0.0833333333333333,0.383344083988392
"30",31,"After Toyota's Corolla, what coupe introduced in 1972 is the second oldest Japanese car model still on the market?","Honda's Civic",59.5833333333333,58.5555555555556,40.3888888888889,33.0924030988555,32.6806578395447,30.2751928414552,24,6,6,36,0.666666666666667,0.166666666666667,0.166666666666667,0.183383910267396
"31",32,"Al Pacino's Satanic character in The Devil's Advocate is named for what author?","John Milton",42.8484848484849,46.2727272727273,32.5151515151515,32.0791221163793,31.4804232095845,29.793163238528,24,6,4,34,0.705882352941177,0.117647058823529,0.176470588235294,-0.172217075733304
"32",33,"Alan Arkin, Oscar winner for Little Miss Sunshine, used to be part of what Folk Trio?","The Tarriers",47.4545454545455,35.1136363636364,28.8409090909091,32.3745913473029,25.8512884021424,29.953408146978,40,3,1,44,0.909090909090909,0.0227272727272727,0.0681818181818182,-0.0685250577576492
"33",34,"Alan Shepard was scheduled to command the ill-fated Apollo 13 before switching missions with what astronaut?","Jim Lovell",66.5531914893617,60.5744680851064,44.0851063829787,30.0288328912457,30.2236192411995,30.2481259119319,34,7,7,48,0.708333333333333,0.145833333333333,0.145833333333333,-0.891745896122686
"34",35,"Albert Fall became the first US cabinet officer to serve jail time for his part in what scandal? ","Teapot Dome scandal",59.8780487804878,56.3414634146341,51.5365853658537,32.0883118299726,33.6159261036325,33.2228065950001,29,4,9,42,0.69047619047619,0.214285714285714,0.0952380952380952,-0.168992036211824
"36",37,"Almost twenty years later, what show tied, but couldn't surpass, Hill Street Blues's record of twenty-six Emmys for a drama?","The West Wing",44.8809523809524,49.8095238095238,31.3095238095238,34.1854357670491,33.1288968956681,31.5992343958182,37,4,3,44,0.840909090909091,0.0681818181818182,0.0909090909090909,0.566972965290192
"37",38,"An umiak is a larger version of what? ","Kayak",58.8936170212766,61.2340425531915,43.2340425531915,33.9226960337466,34.3386034293244,34.9311202760129,45,1,1,47,0.957446808510638,0.0212765957446809,0.0212765957446809,0.474767042313491
"38",39,"Anciently, what was the job description of a ""hierodule""?","Temple Prostitute",59,58.6842105263158,51.6842105263158,34.3204296577402,34.2653439791363,37.6556985839643,37,1,2,40,0.925,0.05,0.025,0.614347742340181
"39",40,"Anthracite and bituminous are two types of what mineral?","Coal",46.0697674418605,52.046511627907,31.1860465116279,33.073075906916,27.8909043787637,25.4345619880035,31,4,8,44,0.704545454545455,0.181818181818182,0.0909090909090909,0.176601222514275
"40",42,"Arno Penzias and Robert Wilson shared a Nobel Prize for accidentally discovering ""CMB,"" leftover radiation from what?","The Big Bang",66.2325581395349,72.7906976744186,64.6046511627907,27.6834463252495,27.0603893784104,30.4632014817595,30,2,10,43,0.697674418604651,0.232558139534884,0.0465116279069767,-1.71483622333174
"42",44,"At 6-8 weeks, babies start producing what? ","Tears",70.1764705882353,70.7647058823529,56.8529411764706,24.3876155707437,26.0850111651621,31.4576505633547,24,4,8,37,0.648648648648649,0.216216216216216,0.108108108108108,-2.87147558226806
"43",45,"At age 11, who accidentally discovered the true identity of his baseball pitcher father while searching his mother's closet for hidden Christmas presents? ","Tim McGraw",63.4358974358974,63,57.2564102564103,33.5353661486802,32.9537155480388,34.5266624270806,32,3,4,39,0.82051282051282,0.102564102564103,0.0769230769230769,0.338837432048289
"45",47,"Bauxite ore is mined so it can be processed into what metal?","Aluminum",61.06,66.04,46.02,33.4727485868607,29.5572498789749,31.5972680296695,38,9,4,51,0.745098039215686,0.0784313725490196,0.176470588235294,0.316862415138797
"46",48,"Because her name became a slang term for a life preserver, who is the only actress whose name is an entry in Merriam-Webster's?","Mae West",67.1666666666667,51.6666666666667,46.9722222222222,31.1140758224588,31.6733326317266,36.0836220157813,33,2,1,37,0.891891891891892,0.027027027027027,0.0540540540540541,-0.510890572610573
"47",49,"Because his father was from Minorca, in Spain, what Civil War hero was the U.S. Navy's first Hispanic admiral?","David Farragut",53.2325581395349,46.4418604651163,42.8372093023256,34.8307726622952,29.1329483947393,31.4293843648008,37,3,2,43,0.86046511627907,0.0465116279069767,0.0697674418604651,0.793447595941339
"48",51,"Before being renamed in 1997, what were the Washington Wizards called?","The Washington Bullets",44.5116279069767,48.8837209302326,24.7441860465116,33.0838560062034,30.65725215401,24.642291389336,27,11,5,43,0.627906976744186,0.116279069767442,0.255813953488372,0.180384392239241
"49",52,"Before his ears were cut off in 1990 by a political rival, what nation was ruled by dictator Samuel Doe?","Liberia",54.8048780487805,53.7560975609756,41.4390243902439,34.6231277560211,31.0022422477834,34.7735882391276,38,1,2,41,0.926829268292683,0.0487804878048781,0.024390243902439,0.720576660153452
"50",53,"Besides the platypus, what's the only egg-laying mammal?","Echidna",63.3055555555556,49.3333333333333,43.0833333333333,35.3107182792538,35.6763226804557,35.0357980194136,25,4,7,36,0.694444444444444,0.194444444444444,0.111111111111111,0.961879785599231
"51",54,"Bruce Springsteen's ""The Ghost of Tom Joad"" was inspired by what literary work?","The Grapes of Wrath ",45.0512820512821,57.3589743589744,35.4615384615385,31.8044590699817,31.6896855039843,28.6639753310907,36,1,4,41,0.878048780487805,0.0975609756097561,0.024390243902439,-0.268607368066877
"52",55,"By a wide margin (more than 3:2), what's the most abundant element in the Earth's crust?","Oxygen",63.4634146341463,67.8536585365854,48.0487804878049,30.5033584716303,30.2097343381316,35.3885230120672,24,8,9,41,0.585365853658537,0.219512195121951,0.195121951219512,-0.725215814945253
"54",57,"Carnivorous animals will not eat another animal that has been killed by what means?","Lightning strike",68.8157894736842,68.6578947368421,66.5789473684211,33.7389463485634,31.830018396535,32.9566722760455,20,9,9,38,0.526315789473684,0.236842105263158,0.236842105263158,0.410281899141473
"55",58,"Certain types of which animal can be frozen solid and then continue living once thawed?","Frog",73.14,73.86,62.86,30.9456468865088,29.1827528040877,36.2789701269122,36,5,10,51,0.705882352941177,0.196078431372549,0.0980392156862745,-0.569999049657589
"56",59,"Chablis is the northernmost district of what French wine region?","Burgundy",46.5476190476191,57.6904761904762,28.0238095238095,35.4133792967741,32.1744392527846,31.2546488992677,32,5,5,42,0.761904761904762,0.119047619047619,0.119047619047619,0.997907659096728
"57",60,"Challenger Astronaut Bruce McCandless II became Earth's first human to ever do what?","Untethered space walk",64.875,64.7,51.8,26.5901345692393,27.2125536641286,32.5947927255338,31,7,3,42,0.738095238095238,0.0714285714285714,0.166666666666667,-2.09852322147638
"59",63,"Coincidentally, in what apartment complex was Rose Mary Woods living in the early 1970s?","The Watergate ",29.4871794871795,43.7179487179487,30.1025641025641,30.60260721166,33.0493639702704,33.1430669671532,36,1,2,39,0.923076923076923,0.0512820512820513,0.0256410256410256,-0.690385446642425
"60",64,"Currently, only the queen of Spain and Belgium and the grand duchess of Luxembourg hold the privlege of wearing white when they visit whom?","The Pope",58.9387755102041,67.3673469387755,48.4285714285714,31.7866639772519,28.5516300450831,32.1552224892526,33,8,8,49,0.673469387755102,0.163265306122449,0.163265306122449,-0.274852380684453
"62",66,"David Schmidt won the 2001 Ig Nobel Prize in Physics for discovering the horizontal vortex that makes what household item blow inward?","Shower curtain ",64.4761904761905,56.6428571428571,49.6428571428571,31.7023028287499,33.8596971941076,35.003708116163,34,4,4,42,0.80952380952381,0.0952380952380952,0.0952380952380952,-0.304458095294981
"64",68,"During which war was ""Richard III"" set? ","Wars of the Roses",44.1764705882353,50.4117647058824,38.4509803921569,32.3602879358963,32.5786288665366,31.8736968207268,42,4,6,52,0.807692307692308,0.115384615384615,0.0769230769230769,-0.0735446991871507
"65",69,"During which war was ""The African Queen"" set?","World War I",50.1944444444444,54.5,37.3888888888889,32.1174802822784,30.9243316130565,34.131910312599,26,5,5,36,0.722222222222222,0.138888888888889,0.138888888888889,-0.158755655011135
"68",72,"Each year, approximately 125 people die of what? ","Choking on food",76.975,54.325,35.925,28.2393501595893,31.582523161248,34.4728711620289,35,4,2,41,0.853658536585366,0.0487804878048781,0.0975609756097561,-1.51974724502116
"69",73,"Eager to find out how his novel Les Miserables was being received, Victor Hugo sent a telegram to his publisher that read ""?"" What did his publisher reply?"," ""!"" ",65.7857142857143,59.3571428571429,48.8809523809524,34.3152783396279,35.9653094567607,36.4853477981079,38,2,2,43,0.883720930232558,0.0465116279069767,0.0465116279069767,0.612539937958545
"70",74,"Eleven U.S. presidents have been what before being elected?","Generals",75.3809523809524,70.3809523809524,45.1190476190476,28.4578870553703,34.0873715125092,35.8582591642478,28,7,7,42,0.666666666666667,0.166666666666667,0.166666666666667,-1.44305387273725
"71",75,"Europe's only free-range monkeys are the Barbary apes, which live where?","Gibralter",60.2820512820513,64.8974358974359,48.2307692307692,33.8346977913041,30.2218071073076,36.6286209192394,32,2,5,40,0.8,0.125,0.05,0.44388492538834
"72",76,"Excepting Alaska and Louisiana, what US state is divided into the fewest counties, with only three?","Delaware",62.6511627906977,62.9302325581395,38.9302325581395,33.5792479289347,31.5341050057879,34.1971840589788,31,5,7,43,0.720930232558139,0.162790697674419,0.116279069767442,0.354237310853717
"73",77,"F. Scott Fitzgerald wrote a famous short story about ""A Diamond as Big as"" what New York landmark?","The Ritz (Hotel)",54.0434782608696,57.3478260869565,36.7173913043478,28.012661043606,26.2172270686486,28.4524266049514,28,10,8,46,0.608695652173913,0.173913043478261,0.217391304347826,-1.59930155873413
"74",78,"For evidentiary reasons, who sued to prevent the demolition of L.A.'s Ambassador Hotel in 2004?","Sirhan Sirhan",47.7647058823529,46.4117647058824,33.7058823529412,32.5524734760934,31.0774364905397,30.5648779599377,48,1,2,51,0.941176470588235,0.0392156862745098,0.0196078431372549,-0.00609907574107969
"75",79,"For his tenacity, 19th century biologist Thomas Huxley was nicknamed whose ""bulldog""?","Darwin's",52.025641025641,51.4358974358974,40.2307692307692,33.5806077963608,29.0659819899799,27.7805891514784,32,4,3,39,0.82051282051282,0.0769230769230769,0.102564102564103,0.354714542940283
"76",80,"For what crime was Bruno Hauptmann executed in 1936?","Kidnapping and killing the Lindbergh baby",54.2444444444444,58.2,50.8444444444444,32.2702759063307,28.8212358576734,33.4928456102301,38,2,6,46,0.826086956521739,0.130434782608696,0.0434782608695652,-0.105133534879345
"78",82,"From 1968 on, what group used the so-called Southern strategy?","The Republican Party",45.4146341463415,46.8048780487805,36.8048780487805,29.5524750315063,28.921635078428,30.4714780673625,31,1,9,42,0.738095238095238,0.214285714285714,0.0238095238095238,-1.05891899770262
"80",84,"Gamophobia is the fear of what?","Marriage",74.8787878787879,64.9090909090909,48.2727272727273,26.7485485304315,31.597432289234,38.1340339520296,26,4,3,33,0.787878787878788,0.0909090909090909,0.121212121212121,-2.04292940123262
"81",85,"Greeks consider which day of the week the unluckiest because it is the day that Constantinople fell in 1453? ","Tuesday",63.9761904761905,58.4761904761905,46.4047619047619,33.4368630335414,32.3383319291956,35.2462137899561,33,4,5,42,0.785714285714286,0.119047619047619,0.0952380952380952,0.304268733460966
"83",87,"Har Gobind Khorana won the 1968 Nobel Prize for Medicine for research into what?","Genetics",51.219512195122,59.1951219512195,47.219512195122,33.7879506593119,30.5836717156354,35.4475049863329,36,3,3,42,0.857142857142857,0.0714285714285714,0.0714285714285714,0.42747947959728
"84",88,"Harry Truman was the first U.S. president of what religious persuasion? ","Southern Baptist",61.3809523809524,48.9523809523809,22.2142857142857,32.6727695832719,31.3150414890527,24.9560938491796,23,14,6,43,0.534883720930233,0.13953488372093,0.325581395348837,0.036117658871065
"85",89,"HO scale is the world's most popular size of what?","Model train set",56.6857142857143,56.2285714285714,32.7428571428571,31.4107244973015,36.1329943031424,33.3416740265206,27,1,7,35,0.771428571428571,0.2,0.0285714285714286,-0.406784640402025
"86",108,"Ida May Fuller was the first U.S. citizen to receive a check for what?","Social Security",59.275,62.025,44.3,30.5647589092322,29.8530482058279,34.0784916001807,34,2,4,40,0.85,0.1,0.05,-0.703667935798506
"88",110,"In 1568 the Catholic Church sentenced the entire population of which nation to death as heretics?","The Netherlands",64.8979591836735,57.734693877551,61.6734693877551,34.467523904128,30.233656404607,34.181127684673,42,3,4,49,0.857142857142857,0.0816326530612245,0.0612244897959184,0.665969020105307
"90",113,"In 1802, John Beckley became the librarian of what collection containing 740 books at the time?","Library of Congress",59.2558139534884,66.0930232558139,42.1627906976744,32.1877624063318,26.067507555693,32.6313683677284,40,0,4,44,0.909090909090909,0.0909090909090909,0,-0.134090835436063
"91",114,"In 1849, Walter Hunt received a patent for turning a single piece of wire into what?","A paper clip",65.6486486486486,68.4864864864865,42.4594594594595,34.0899270037811,28.6420646579095,33.0938015298892,31,2,4,38,0.815789473684211,0.105263157894737,0.0526315789473684,0.533455105015317
"92",115,"In 1893, who became the first woman ever to appear on a U.S. postage stamp?","Queen Isabella I ",65.2413793103448,53.2758620689655,46.5862068965517,28.8662620327579,28.080110591617,33.30756803896,20,6,4,30,0.666666666666667,0.133333333333333,0.2,-1.29973869449107
"93",116,"In 1900, Texas biologist Vernon Bailey discovered a network of tunnels the size of the state of Maryland. What had dug them?","Prairie dogs",64.5,55.6764705882353,54.2058823529412,30.2427051058799,29.8142945055345,35.8724841050146,28,2,5,35,0.8,0.142857142857143,0.0571428571428571,-0.81668954776786
"94",117,"in 1908, New York City passed the Sullivan Ordinance which made it illegal for women to do what in public?","Smoke",70.9090909090909,62.1818181818182,54.5454545454545,34.9170566581143,34.0971748998685,36.4586127543908,36,5,3,44,0.818181818181818,0.0681818181818182,0.113636363636364,0.823728114889157
"95",118,"In 1917, which Joseph endowed an annual literary prize?","Pulitzer",44,62.0512820512821,38.2051282051282,34.3572561860166,32.6351027656359,34.4614044122128,30,2,8,40,0.75,0.2,0.05,0.62727164991623
"96",119,"In 1934, five years before his retirement, who became the first athlete to appear on a Wheaties box? ","Lou Gehrig",64.8333333333333,61.0833333333333,36.9444444444444,34.1287478318708,33.0327759311004,33.3174724169462,25,5,6,36,0.694444444444444,0.166666666666667,0.138888888888889,0.547078892478832
"99",122,"In 1964, who founded Blue Ribbon Sports, which later went on to become Nike?","Phil Knight",47.53125,37.25,27.28125,33.5491785150137,32.8083388298492,31.0090875077697,25,2,4,32,0.78125,0.125,0.0625,0.343684746043264
"101",124,"In 1967, what did The Ed Sullivan Show force the Rolling Stones to sing instead of the title of their song ""Let's Spend the Night Together""?","Let's spend some time together",56.2142857142857,54.4047619047619,36.7857142857143,34.2754521517814,31.3275842947841,31.1358437584486,36,5,2,43,0.837209302325581,0.0465116279069767,0.116279069767442,0.598563329385252
"102",125,"In 1989, what 59-year-old became People's Sexiest Man Alive ever?","Sean Connery",47.9777777777778,58.0444444444444,23.5777777777778,33.4456743288744,34.2098839754852,29.4243937829643,31,3,11,45,0.688888888888889,0.244444444444444,0.0666666666666667,0.307360970819162
"103",126,"In 1991, who finally broke Bob Beamon's decades-old long jump record?","Mike Powell",27.925,35.875,18.625,30.1512320622524,28.504779176437,24.7154965402431,34,4,2,40,0.85,0.05,0.1,-0.848791111962754
"104",127,"In 1994, Christian Spurling confessed that the so-called Surgeon's Photo of 1934 was a fake. What was pictured in it?","The Loch Ness Monster",60.8333333333333,64.2708333333333,45.2708333333333,30.4563401032079,31.7582219766877,34.1079260666399,45,0,2,48,0.9375,0.0416666666666667,0,-0.741716448491434
"105",128,"in 2004, for the Internet age, what new character was added to the Morse code alphabet, the first ever official addition since world war I?","@",69.2244897959184,75.7959183673469,47.3877551020408,29.9250907170182,25.2817289030345,34.7429946934934,39,5,6,50,0.78,0.12,0.1,-0.928153190923592
"106",129,"In 2004, the town of Haslach in Upper Austria revoked the honorary citizenship it awarded to whom? ","Adolf Hitler",45.5384615384615,65.2051282051282,39.6410256410256,35.2687771219263,32.3932899867757,34.6520198997245,41,0,2,43,0.953488372093023,0.0465116279069767,0,0.947160949306459
"107",130,"In 2005, Bhutan became the first country to entirely ban what?","Tobacco",67.9230769230769,64.2820512820513,53.974358974359,27.9900213566649,23.7242366833546,29.9055418024707,34,2,4,40,0.85,0.1,0.05,-1.60724673399965
"108",131,"In 2007, what school beat the Ohio State Buckeyes for the national championships in both football and basketball?","Florida",28.5208333333333,38.8958333333333,16.6666666666667,32.9958021722902,36.6816317784403,26.9643841795877,38,1,10,49,0.775510204081633,0.204081632653061,0.0204081632653061,0.149482766034647
"110",133,"In ancient Egypt, what was the penalty for killing a cat?","Death",65.8571428571429,62.2448979591837,44.9591836734694,31.7988469392629,34.7110276738801,36.6901208227282,32,5,12,50,0.64,0.24,0.1,-0.270576890096511
"112",135,"In Britain, what kind of meat comes in rashers?","Bacon",51.1086956521739,65.1086956521739,38.1304347826087,35.038536410878,30.3799848298328,33.9336664657205,32,3,10,47,0.680851063829787,0.212765957446809,0.0638297872340425,0.866360238267557
"114",137,"In Europe, but not the U.S., what are measured in ""Paris Points""?","Shoe sizes",56.0571428571429,52.0571428571429,40.4285714285714,34.4007035300347,32.4924813539658,35.5703823544299,31,2,1,36,0.861111111111111,0.0277777777777778,0.0555555555555556,0.642519067601097
"115",138,"With its 240 mph hunting dive, what species of raptor is the fastest animal on earth?","Peregrine falcon",64.0408163265306,65.7551020408163,54.1836734693878,29.6394719811222,28.7579920864364,30.1009921413092,32,6,11,50,0.64,0.22,0.12,-1.02838827463817
"125",148,"In what bay would you find the Andaman and Nicobar islands?","The Bay of Bengal",41.8636363636364,52.5227272727273,31.3181818181818,32.2422450810221,30.3870295435738,28.9970108541864,39,3,2,44,0.886363636363636,0.0454545454545455,0.0681818181818182,-0.114970677084256
"126",149,"In what city could you see the Seagull Monument at Temple Square?","Salt Lake City",49.1904761904762,48.1666666666667,37.3095238095238,31.7430523185692,32.5201001008469,33.0221567120328,36,3,4,43,0.837209302325581,0.0930232558139535,0.0697674418604651,-0.290157462983337
"128",152,"In what country did the domesticated ""potbellied pig"" originate?","Vietnam",58.7631578947368,68.5263157894737,45.9736842105263,33.4004646435769,26.9481352131302,34.589083453712,27,5,6,39,0.692307692307692,0.153846153846154,0.128205128205128,0.291495076810853
"129",153,"In what country was the largest rough diamond ever discovered?","South Africa",61.32,64.74,45.06,32.2423476129118,29.5205290036114,33.0364115756527,32,9,9,50,0.64,0.18,0.18,-0.114934694526905
"130",154,"In what country would you find the port of Rosetta, of Rosetta Stone fame?  ","Egypt",60.1538461538462,57.7435897435897,49.7692307692308,33.611979742143,31.9833163323745,32.9884042932326,27,6,7,40,0.675,0.175,0.15,0.365724218485222
"132",156,"In what fictional midwestern city did Sinclair Lewis set ""Babbitt"" and ""Arrowsmith""? ","Zenith",37.7948717948718,40.4615384615385,33.3076923076923,29.4985989740276,29.4947329409008,32.2132318728237,35,0,5,40,0.875,0.125,0,-1.07782626971562
"134",158,"In what layer of the Earth's atmosphere is Antarctica's famed ""ozone hole""? ","Stratosphere",57.8684210526316,64.6578947368421,43.1315789473684,28.7873574471659,24.7607757768149,30.370835096628,26,8,5,39,0.666666666666667,0.128205128205128,0.205128205128205,-1.32742948206309
"136",160,"In what nation did the woven-yarn craft of ""God's eyes"" originate? ","Mexico ",55.9268292682927,52.1707317073171,41.0487804878049,34.730671058808,32.6166387285879,34.6063225578161,37,0,4,41,0.902439024390244,0.0975609756097561,0,0.758317923603737
"138",162,"In what organ of the body would you find the islets of Langerhans and the duct of Wirsung? ","Pancreas",51.12,52.72,36.92,33.4423903061332,34.9407895662105,30.0393211695359,38,3,8,50,0.76,0.16,0.06,0.306208475366257
"139",163,"In what sport are the Beaters in charge of batting away the Bludgers? ","Quidditch",40.9047619047619,43.0238095238095,30.4761904761905,35.0740050525989,33.1069870270856,31.0720940561785,28,5,10,44,0.636363636363636,0.227272727272727,0.113636363636364,0.878807608924042
"140",164,"In what state was the U.S.'s first ""Adopt-a-Highway"" program started?","Texas",61.3333333333333,59.9333333333333,34.8444444444444,34.4416502613808,33.2089801655571,31.1615698311788,37,7,2,46,0.804347826086957,0.0434782608695652,0.152173913043478,0.656888919884897
"143",167,"In which city was Anton Cermak killed? ","Miami",31.7441860465116,37.093023255814,27.8604651162791,27.6871063538658,24.7528872327369,28.1666650284718,41,1,1,45,0.911111111111111,0.0222222222222222,0.0222222222222222,-1.71355177231837
"144",168,"In which city was Bob Crane killed?","Scottsdale, Arizona ",43.4791666666667,44.4583333333333,28.8541666666667,32.689375971689,30.5523327335409,30.2183469585582,41,3,4,48,0.854166666666667,0.0833333333333333,0.0625,0.0419455074117492
"147",171,"In which country is it most common for divers to be attacked by sharks?","United States",68.6969696969697,62,58.3939393939394,26.8508436185961,29.4300016989466,30.6950111927201,18,7,8,33,0.545454545454545,0.242424242424242,0.212121212121212,-2.00702994704029
"148",172,"In which country was tennis star John McEnroe born?","West Germany ",37.0185185185185,47.7592592592593,30.6481481481481,33.2665000857091,33.6726389040376,31.6139194369556,36,6,13,55,0.654545454545455,0.236363636363636,0.109090909090909,0.244481533982364
